Time[s] TxPosX[m] TxPosY[m] RxPosX[m] RxPosY[m] ChannelState SNR[dB] Pathloss[dB]
0 -4.39518e+06 1.31265e+06 3.7825e+06 585996 0 -152.225 257.297
10 -4.44453e+06 1.26984e+06 3.7825e+06 585996 0 -406.124 249.287
20 -4.49348e+06 1.22696e+06 3.7825e+06 585996 0 -647.611 249.613
30 -4.54202e+06 1.18403e+06 3.7825e+06 585996 0 -902.938 253.733
40 -4.59015e+06 1.14105e+06 3.7825e+06 585996 0 -1163.75 259.265
50 -4.63786e+06 1.09801e+06 3.7825e+06 585996 0 -1414.4 251.756
60 -4.68516e+06 1.05493e+06 3.7825e+06 585996 0 -1673.75 259.43
70 -4.73202e+06 1.01181e+06 3.7825e+06 585996 0 -1931.97 256.803
80 -4.77846e+06 968651 3.7825e+06 585996 0 -2182.09 251.886
90 -4.82445e+06 925458 3.7825e+06 585996 0 -2441.96 259.805
100 -4.87001e+06 882235 3.7825e+06 585996 0 -2696.19 251.255
110 -4.91512e+06 838987 3.7825e+06 585996 0 -2952.82 257.08
120 -4.95979e+06 795716 3.7825e+06 585996 0 -inf 250.556
130 -5.00399e+06 752427 3.7825e+06 585996 0 -inf 254.119
140 -5.04774e+06 709123 3.7825e+06 585996 0 -inf 257.108
150 -5.09102e+06 665809 3.7825e+06 585996 0 -inf 258.985
160 -5.13384e+06 622488 3.7825e+06 585996 0 -inf 251.614
170 -5.17618e+06 579164 3.7825e+06 585996 0 -inf 251.746
180 -5.21804e+06 535841 3.7825e+06 585996 0 -inf 256.81
190 -5.25942e+06 492523 3.7825e+06 585996 0 -inf 260.779
200 -5.30032e+06 449213 3.7825e+06 585996 0 -inf 253.585
210 -5.34072e+06 405916 3.7825e+06 585996 0 -inf 260.584
220 -5.38063e+06 362634 3.7825e+06 585996 0 -inf 257.969
230 -5.42005e+06 319373 3.7825e+06 585996 0 -inf 252.155
240 -5.45895e+06 276136 3.7825e+06 585996 0 -inf 248.025
250 -5.49735e+06 232925 3.7825e+06 585996 0 -inf 256.59
260 -5.53524e+06 189747 3.7825e+06 585996 0 -inf 249.611
270 -5.57261e+06 146603 3.7825e+06 585996 0 -inf 256.711
280 -5.60947e+06 103498 3.7825e+06 585996 0 -inf 259.352
290 -5.6458e+06 60435.6 3.7825e+06 585996 0 -inf 258.451
300 -5.6816e+06 17419.5 3.7825e+06 585996 0 -inf 255.044
310 -5.71687e+06 -25546.6 3.7825e+06 585996 0 -inf 258.053
320 -5.7516e+06 -68458.9 3.7825e+06 585996 0 -inf 251.32
